taxonID	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
31652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas C;s_Pseudomonas C sp001513025
31746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Cypionkella;s_Cypionkella sp001828855
31863	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Edaphocola;s_Edaphocola sp001897525
32245	0	0	0	0	0	0	0	0	0	0	0	0	294	0	4250	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas geniculata
32342	0	0	0	0	0	0	0	0	0	0	1271	159	301	0	22	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Erwinia A;s_Erwinia A teleogrylli
32395	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Erythrobacter;s_Erythrobacter sp001516125
32412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Bosea;s_Bosea sp001556025
32413	0	0	0	0	0	0	0	0	0	0	0	224	0	0	343	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Bosea;s_Bosea sp001556125
32438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1288	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Peptoniphilaceae;g_KA00134;s_KA00134 sp001574395
32528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_EhC02;s_EhC02 sp001650895
